Name_val,Name_@footnote,Cost_AllPriorYears_TotalCost_val,Cost_AllPriorYears_UnitCost_val,Cost_AllPriorYears_Quantity_val,Cost_PriorYear_UnitCost_val,Cost_PriorYear_Quantity_val,Cost_PriorYear_TotalCost_val,Cost_CurrentYear_UnitCost_val,Cost_CurrentYear_Quantity_val,Cost_CurrentYear_TotalCost_val,Cost_BudgetYearOneBase_UnitCost_val,Cost_BudgetYearOneBase_Quantity_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOneOCO_UnitCost_val,Cost_BudgetYearOneOCO_Quantity_val,Cost_BudgetYearOneOCO_TotalCost_val,Cost_BudgetYearOne_UnitCost_val,Cost_BudgetYearOne_Quantity_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearTwo_TotalCost_val,Cost_BudgetYearTwo_UnitCost_val,Cost_BudgetYearTwo_Quantity_val,Cost_BudgetYearThree_TotalCost_val,Cost_BudgetYearThree_UnitCost_val,Cost_BudgetYearThree_Quantity_val,Cost_BudgetYearFour_TotalCost_val,Cost_BudgetYearFour_UnitCost_val,Cost_BudgetYearFour_Quantity_val,Cost_BudgetYearFive_TotalCost_val,Cost_BudgetYearFive_UnitCost_val,Cost_BudgetYearFive_Quantity_val,Cost_ToComplete_UnitCost_val,Cost_ToComplete_Quantity_val,Cost_ToComplete_TotalCost_val,Cost_Total_UnitCost_val,Cost_Total_Quantity_val,Cost_Total_TotalCost_val,Cost_Quantity_PriorYear_val,Cost_Quantity_CurrentYear_val,Cost_Quantity_BudgetYearOneBase_val,Cost_Quantity_BudgetYearOne_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_UnitCost_PriorYear_val,Cost_UnitCost_CurrentYear_val,Cost_UnitCost_BudgetYearOneBase_val,Cost_UnitCost_BudgetYearOne_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"RECEIPT BOMB MK84-4 2000LB MOD 10 IM","","0.000","","","18.01","1444","0.026","17.73","564","0.01","18","340","0.006","18","303","0.005","17.11","643","0.011","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","5fa77918c89f42288e757edeaff51df2d82a583bf8dfe8832173bc47b63e6f01","5-8dc85e950be6382062b60206dc126b252f6512eb76a36ca2fee14bef54be5c74","0-fc7d08582bdbc2f63d22d1e1dc80d6ffe868a1075a74ffa6217d6287292deff0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"LOAD ASSEMBLE & PACK","","0.000","","","8750","12","0.105","8701.03","97","0.844","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","5fa77918c89f42288e757edeaff51df2d82a583bf8dfe8832173bc47b63e6f01","0-31a6d17cf306cd5e16b0c9dd0219730b0f6d3bd12b3e3e289485ad891a177072","0-8e6ddfa47b14e00c4f36b852ca65eb0a7216bc6edf74a90140177c7171f9b395","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"AFX-757 (LB)","","0.000","","","20","11000","0.22","8","86595","0.693","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","5fa77918c89f42288e757edeaff51df2d82a583bf8dfe8832173bc47b63e6f01","1-7a0f64bb65f31b2c123d679085a0a78bc9ab0e3e6bc6f0625a628313d537cbb4","0-8e6ddfa47b14e00c4f36b852ca65eb0a7216bc6edf74a90140177c7171f9b395","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"BLU-121 2000LB PENETRATOR BOMB","","0.000","","","92916.67","12","1.115","66216.49","97","6.423","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","5fa77918c89f42288e757edeaff51df2d82a583bf8dfe8832173bc47b63e6f01","2-9d8eb9fb61dcb49e3ceac65f3b0a317a545f4dafdfbc7911a7e5190aead57616","0-8e6ddfa47b14e00c4f36b852ca65eb0a7216bc6edf74a90140177c7171f9b395","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"RFTS SYSTEM","","0.000","","","2.6","1","2.6","2.6","1","2.6","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","330c29f5a5f0e8ed876d07b467fbbf6f5e140724b3e9e4215e0f8d5dd7597dba","0-c63b9c9b7a719a9c1ab5b6457672f9d7e56d9abf1271e427b031deb74bdba288","0-56cbad6f977f01b9f10d9b633b656592a63e9aa4b6564df08153b1c75ac1f6a3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"DATA","","0.000","","","","","0.65","","","0.65","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","330c29f5a5f0e8ed876d07b467fbbf6f5e140724b3e9e4215e0f8d5dd7597dba","1-0c7dd4d73da38a91a31a1805e5eff5964e5ec84d36eebe86f3c68f6c914d2ec8","0-56cbad6f977f01b9f10d9b633b656592a63e9aa4b6564df08153b1c75ac1f6a3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"GOVERNMENT COSTS","","0.000","","","","","1","","","3.15","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","330c29f5a5f0e8ed876d07b467fbbf6f5e140724b3e9e4215e0f8d5dd7597dba","2-27aa586d4f733b880f23f7996233c2fde53e7e6c4fdac0c1b881256a7b16e532","0-56cbad6f977f01b9f10d9b633b656592a63e9aa4b6564df08153b1c75ac1f6a3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"PRODUCTION SUPPORT SERVICES","","0.000","","","","","2","","","2","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","330c29f5a5f0e8ed876d07b467fbbf6f5e140724b3e9e4215e0f8d5dd7597dba","3-cadaf68de4366912cdfbdadbc254d565e6aa1316dc7837cfafc8aef20a0b5128","0-56cbad6f977f01b9f10d9b633b656592a63e9aa4b6564df08153b1c75ac1f6a3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"ENGINEERING","","0.000","","","","","1.45","","","1.45","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","330c29f5a5f0e8ed876d07b467fbbf6f5e140724b3e9e4215e0f8d5dd7597dba","4-91c12d228194f46a1e32a9f63643669fc4a36e6f2edd07e014f6ccb1515f9f19","0-56cbad6f977f01b9f10d9b633b656592a63e9aa4b6564df08153b1c75ac1f6a3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"All Up Round (AUR) - Block I","","219.237","0.201","1093","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","0.000","","","0.000","","","0.000","","","0.000","","","0.000","0","0.000","0.201","1093","219.237","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8dae3db13d08cf6bae22952387d39b872a6723768b722901fc54c0d66573e52f","0-7d9e820a72f54e6383a85292bd9e552cb38cc2693fd9e33d52238e7e4483515b","0-7edb751f93b0b45b8a861a8dc82ed4abe27f3b5b30a5b44aeff66568eff8beea","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"Captive Air Training Missile (CATM) - Block I","","100.052","0.171","585","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","0.000","","","0.000","","","0.000","","","0.000","","","0.000","0","0.000","0.171","585","100.052","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8dae3db13d08cf6bae22952387d39b872a6723768b722901fc54c0d66573e52f","1-fe12b9b127cd3ced353e182c12a05e5292b05ff02bc1e57044e20c3ffce3f1cf","0-7edb751f93b0b45b8a861a8dc82ed4abe27f3b5b30a5b44aeff66568eff8beea","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"Engineering Change Orders - Block I","","9.759","","","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","0.000","","","0.000","","","0.000","","","0.000","","","","","0.000","","","9.759","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8dae3db13d08cf6bae22952387d39b872a6723768b722901fc54c0d66573e52f","2-21374c199a73bfb6a2038be7e7d03e723e90d39d35ace058e31004d325df2e44","0-7edb751f93b0b45b8a861a8dc82ed4abe27f3b5b30a5b44aeff66568eff8beea","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"Engineering & Tech Services (Non-FFRDC) - Block I","","44.752","","","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","0.000","","","0.000","","","0.000","","","0.000","","","","","0.000","","","44.752","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8dae3db13d08cf6bae22952387d39b872a6723768b722901fc54c0d66573e52f","3-eca1a6d5cb34ed03c6ad143cf2a3aae18484aa40dea7c84a1593457cdb578046","0-7edb751f93b0b45b8a861a8dc82ed4abe27f3b5b30a5b44aeff66568eff8beea","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"Govt In-House System Eng - Block I","","24.664","","","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","0.000","","","0.000","","","0.000","","","0.000","","","","","0.000","","","24.664","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8dae3db13d08cf6bae22952387d39b872a6723768b722901fc54c0d66573e52f","4-037e60bbd1d23258b37f77b136e8d5b02003dc3f6a36c60100c280b7c01392ae","0-7edb751f93b0b45b8a861a8dc82ed4abe27f3b5b30a5b44aeff66568eff8beea","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"All Up Round - Block II","","0.000","","","0.205","100","20.543","0.496","112","55.576","0.541","124","67.083","","","0.000","0.541","124","67.083","59.467","0.601","99","96.33","0.602","160","61.395","0.608","101","52.166","0.621","84","0.789","2138","1687.532","0.72","2918","2100.092","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8dae3db13d08cf6bae22952387d39b872a6723768b722901fc54c0d66573e52f","5-126999c054db7f8818f10e94cd7ea19088a357b61c34519c0aeb5565ff575228","0-7edb751f93b0b45b8a861a8dc82ed4abe27f3b5b30a5b44aeff66568eff8beea","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"Captive Air Training Missile (CATM) - Block II","","0.000","","","0.305","78","23.814","0.253","13","3.292","0.306","40","12.23","","","0.000","0.306","40","12.23","16.051","0.315","51","28.238","0.321","88","17.094","0.329","52","23.37","0.339","69","0.329","110","36.231","0.32","501","160.32","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8dae3db13d08cf6bae22952387d39b872a6723768b722901fc54c0d66573e52f","6-55bf94d286d1f8e750f5bf16c7847d0c5d4177a8a1fdefb54757042b52b0c6b1","0-7edb751f93b0b45b8a861a8dc82ed4abe27f3b5b30a5b44aeff66568eff8beea","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"Engineering Change Orders - Block II","","0.000","","","","","2.039","","","0.000","","","1.63","","","0.000","","","1.63","1.639","","","1.645","","","1.658","","","1.674","","","","","30.27","","","40.555","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8dae3db13d08cf6bae22952387d39b872a6723768b722901fc54c0d66573e52f","7-0730ce8baafc7adb3e0a0acac6bad00140346c2ae7d5ca16bd4b65f507fab78e","0-7edb751f93b0b45b8a861a8dc82ed4abe27f3b5b30a5b44aeff66568eff8beea","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"Government Cost (GFE & Testing) - Block II","","2.443","","","","","0.000","","","0.000","","","0.011","","","0.000","","","0.011","0.012","","","0.012","","","0.012","","","0.012","","","","","0.253","","","2.755","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8dae3db13d08cf6bae22952387d39b872a6723768b722901fc54c0d66573e52f","8-22a8e9ef150b9e1b6fa32a730c58b0764ec54cdc8d7ae2d47f46572498b7fb49","0-7edb751f93b0b45b8a861a8dc82ed4abe27f3b5b30a5b44aeff66568eff8beea","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"RFTS SYSTEM","","0.000","","","2.6","1","2.6","2.6","1","2.6","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","f399505badda0ce97b9cd0a1489cdb66271dafdc767f23f81d1697e9f3480573","0-58206fe57c1b62f36daf7a5116d1d5ed6613c3a205b94fb21698f2c5c3936b9f","0-cb4a4bbb553441c122039f2a32c4953d82342cd2237f0abe45925068053188e1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"DATA","","0.000","","","","","0.65","","","0.65","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","f399505badda0ce97b9cd0a1489cdb66271dafdc767f23f81d1697e9f3480573","1-6bd042c56622d28397efef481f97f3971eb763761a9e0b7ba4a52f487f0cf025","0-cb4a4bbb553441c122039f2a32c4953d82342cd2237f0abe45925068053188e1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"GOVERNMENT COSTS","","0.000","","","","","1","","","3.15","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","f399505badda0ce97b9cd0a1489cdb66271dafdc767f23f81d1697e9f3480573","2-7f79104be9654f1e990a3123ba0adb368c1d5c974f74b4c40cb179f9bea771ec","0-cb4a4bbb553441c122039f2a32c4953d82342cd2237f0abe45925068053188e1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"PRODUCTION SUPPORT SERVICES","","0.000","","","","","2","","","2","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","f399505badda0ce97b9cd0a1489cdb66271dafdc767f23f81d1697e9f3480573","3-36bad7e5c84b49a3c32a4e45f540a93d2268cb5a7db97383eb3c61362b9239db","0-cb4a4bbb553441c122039f2a32c4953d82342cd2237f0abe45925068053188e1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"ENGINEERING","","0.000","","","","","1.45","","","1.45","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","f399505badda0ce97b9cd0a1489cdb66271dafdc767f23f81d1697e9f3480573","4-79d7c3507b0ed6039abdd43a9afd661c6863d0e3fb465a9755cacab76179b6d0","0-cb4a4bbb553441c122039f2a32c4953d82342cd2237f0abe45925068053188e1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"All Up Round (AUR) - Block I","","219.237","0.201","1093","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","0.000","","","0.000","","","0.000","","","0.000","","","0.000","0","0.000","0.201","1093","219.237","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","b59085466dd5e913b48412ac5b92463d4bc7563b8d00212750b70963a637457a","0-34c24765a4ed6760a350de7977578bd4aaa76d8c4659b60ee5024cbdc44504ba","0-803a69bca38c36d28c741a11362c96af31cf4c42a234cbab26c604bcf66491a3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"Captive Air Training Missile (CATM) - Block I","","100.052","0.171","585","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","0.000","","","0.000","","","0.000","","","0.000","","","0.000","0","0.000","0.171","585","100.052","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","b59085466dd5e913b48412ac5b92463d4bc7563b8d00212750b70963a637457a","1-6177c09891159bf8027348782c1d268455d08278e34a79ce8543bd1f6ef221e5","0-803a69bca38c36d28c741a11362c96af31cf4c42a234cbab26c604bcf66491a3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"Engineering Change Orders - Block I","","9.759","","","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","0.000","","","0.000","","","0.000","","","0.000","","","","","0.000","","","9.759","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","b59085466dd5e913b48412ac5b92463d4bc7563b8d00212750b70963a637457a","2-89faa2f8f454e0c285a47180749e327de5050da5835752f059a65bfc7b32b00c","0-803a69bca38c36d28c741a11362c96af31cf4c42a234cbab26c604bcf66491a3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"Engineering & Tech Services (Non-FFRDC) - Block I","","44.752","","","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","0.000","","","0.000","","","0.000","","","0.000","","","","","0.000","","","44.752","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","b59085466dd5e913b48412ac5b92463d4bc7563b8d00212750b70963a637457a","3-8bb3c3682e299d952f2ae77d34f1c0cca69861abc16a0f11cd49817cc867810c","0-803a69bca38c36d28c741a11362c96af31cf4c42a234cbab26c604bcf66491a3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"Govt In-House System Eng - Block I","","24.664","","","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","0.000","","","0.000","","","0.000","","","0.000","","","","","0.000","","","24.664","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","b59085466dd5e913b48412ac5b92463d4bc7563b8d00212750b70963a637457a","4-f0bf03c740facd73af4ada4fdfd5177b066df521218cf680c238b938f340fa3a","0-803a69bca38c36d28c741a11362c96af31cf4c42a234cbab26c604bcf66491a3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"All Up Round - Block II","","0.000","","","0.205","100","20.543","0.496","112","55.576","0.541","124","67.083","","","0.000","0.541","124","67.083","59.467","0.601","99","96.33","0.602","160","61.395","0.608","101","52.166","0.621","84","0.789","2138","1687.532","0.72","2918","2100.092","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","b59085466dd5e913b48412ac5b92463d4bc7563b8d00212750b70963a637457a","5-40d768954f27a55464a2435258337a0694e0da26a88126807a312d61615feb1c","0-803a69bca38c36d28c741a11362c96af31cf4c42a234cbab26c604bcf66491a3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"Captive Air Training Missile (CATM) - Block II","","0.000","","","0.305","78","23.814","0.253","13","3.292","0.306","40","12.23","","","0.000","0.306","40","12.23","16.051","0.315","51","28.238","0.321","88","17.094","0.329","52","23.37","0.339","69","0.329","110","36.231","0.32","501","160.32","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","b59085466dd5e913b48412ac5b92463d4bc7563b8d00212750b70963a637457a","6-4414b55a8c670eb68fcff80aab4e3a768007bd1516e1721e790b228ceb641c3c","0-803a69bca38c36d28c741a11362c96af31cf4c42a234cbab26c604bcf66491a3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
